tokens,labels
"['After', 'a', 'lengthy', 'debate', ',', 'the', 'state', 'wildlife', 'commission', 'voted', 'to', 'reintroduce', 'elk', 'to', 'the', 'Appalachian', 'region', ',', 'where', 'they', 'had', 'been', 'extinct', 'for', 'over', 'a', 'century', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'zoo', ""'"", 's', 'newest', 'exhibit', ',', '""', 'Rainforest', 'Nights', ',', '""', 'featured', 'a', 'large', ',', 'dimly', 'lit', 'enclosure', 'where', 'visitors', 'could', 'observe', 'the', 'nocturnal', 'behavior', 'of', 'Linne', ""'"", 's', 'two', '-', 'toed', 'sloth', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"['Within', 'the', 'ancient', 'walls', 'of', 'Cairo', ""'"", 's', 'Citadel', ',', 'a', 'pair', 'of', 'Lanner', 'falcons', 'made', 'their', 'home', ',', 'soaring', 'overhead', 'as', 'tourists', 'explored', 'the', 'historic', 'site', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['To', 'alleviate', 'concerns', ',', 'the', 'aquarium', 'staff', 'assured', 'visitors', 'that', 'the', 'shark', 'tank', ""'"", 's', '10', '-', 'inch', '-', 'thick', 'acrylic', 'wall', 'was', 'designed', 'to', 'withstand', 'even', 'the', 'most', 'forceful', 'great', 'white', 'shark', 'collisions', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"['At', 'the', 'pet', 'store', ',', 'a', 'family', 'debated', 'whether', 'to', 'adopt', 'a', 'mouse', 'or', 'a', 'hamster', 'as', 'their', 'first', 'pet', ',', 'weighing', 'the', 'pros', 'and', 'cons', 'of', 'each', 'small', 'creature', ""'"", 's', 'care', 'requirements', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'fishmonger', 'carefully', 'placed', 'a', 'dozen', 'freshly', 'caught', 'Dungeness', 'crabs', 'on', 'ice', 'for', 'the', 'evening', ""'"", 's', 'seafood', 'market', 'in', 'San', 'Francisco', ""'"", 's', 'Fisherman', ""'"", 's', 'Wharf', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['In', 'the', 'heart', 'of', 'the', 'Amazon', 'rainforest', ',', 'a', 'harpy', 'eagle', ',', 'nearly', 'invisible', 'amidst', 'the', 'dense', 'foliage', ',', 'silently', 'observed', 'a', 'troop', 'of', 'howler', 'monkeys', 'navigating', 'the', 'forest', 'canopy', 'with', 'ease', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['After', 'moving', 'into', 'the', 'new', 'apartment', ',', 'the', 'family', 'was', 'startled', 'to', 'find', 'a', 'large', 'European', 'Mantis', 'perched', 'on', 'the', 'windowsill', ',', 'having', 'apparently', 'entered', 'through', 'an', 'open', 'window', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'documentary', 'filmmaker', 'trekked', 'through', 'the', 'dense', ',', 'misty', 'cloud', 'forests', 'of', 'Costa', 'Rica', ',', 'camera', 'at', 'the', 'ready', ',', 'to', 'capture', 'the', 'elusive', ',', 'endangered', 'Brookesia', 'chameleon', 'in', 'its', 'natural', 'habitat', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
"['As', 'a', 'warning', 'to', 'potential', 'poachers', ',', 'conservationists', 'posted', 'signs', 'featuring', 'images', 'of', 'the', 'endangered', 'Spix', ""'"", 's', 'macaw', ',', 'emphasizing', 'the', 'severe', 'penalties', 'for', 'harming', 'the', 'critically', 'endangered', 'species', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['A', 'local', 'legend', 'in', 'rural', 'Thailand', 'told', 'the', 'tale', 'of', 'a', 'revered', 'monk', 'who', 'could', 'supposedly', 'tame', 'even', 'the', 'deadliest', 'of', 'cobras', ',', 'a', 'claim', 'often', 'disputed', 'but', 'never', 'proven', 'or', 'disproven', 'among', 'the', 'village', 'elders', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Paleontologist', 'Dr', '.', 'Patel', 'spent', 'years', 'studying', 'the', 'ancient', ',', 'fossilized', 'remains', 'of', 'monotremes', ',', 'ancestors', 'of', 'the', 'modern', 'platypus', ',', 'found', 'in', 'a', 'remote', ',', 'arid', 'region', 'of', 'Western', 'Australia', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['In', 'the', 'heart', 'of', 'the', 'Azores', 'Islands', ',', 'a', 'local', 'dive', 'master', 'led', 'a', 'group', 'of', 'experienced', 'scuba', 'divers', 'on', 'an', 'unforgettable', 'encounter', 'with', 'a', 'majestic', ',', '80', '-', 'ton', 'sei', 'whale', 'gliding', 'effortlessly', 'through', 'the', 'crystal', '-', 'clear', 'waters', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'biologist', ""'"", 's', 'groundbreaking', 'research', 'on', 'porcupine', 'hibernation', 'patterns', 'was', 'published', 'in', 'the', 'latest', 'issue', 'of', '_Wildlife', 'Ecology', 'Magazine_', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['In', 'a', 'bizarre', 'incident', ',', 'a', 'Komodo', 'dragon', 'somehow', 'escaped', 'its', 'enclosure', 'at', 'a', 'private', 'zoo', 'in', 'Thailand', ',', 'prompting', 'a', 'city', '-', 'wide', 'alert', 'and', 'eventual', 'safe', 'recapture', '.']","[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['In', 'the', 'heart', 'of', 'the', 'Kalahari', 'Game', 'Reserve', ',', 'researchers', 'set', 'up', 'camera', 'traps', 'to', 'monitor', 'the', 'meerkat', 'population', ""'"", 's', 'response', 'to', 'the', 'severe', 'drought', 'that', 'had', 'plagued', 'the', 'region', 'for', 'months', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['At', 'the', 'butterfly', 'farm', ',', 'visitors', 'marveled', 'as', 'hundreds', 'of', 'iridescent', 'blue', 'morpho', 'butterflies', 'flitted', 'about', ',', 'their', 'wings', 'beating', 'at', 'hypnotic', 'speeds', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Within', 'the', 'swallow', ""'"", 's', 'nest', ',', 'the', 'researcher', 'carefully', 'placed', 'a', 'tiny', ',', 'specially', 'designed', 'tracker', 'to', 'monitor', 'the', 'bird', ""'"", 's', 'upcoming', 'transcontinental', 'migration', 'patterns', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'biology', 'teacher', 'carefully', 'handled', 'the', 'pet', 'rat', ',', 'Mr', '.', 'Whiskers', ',', 'as', 'she', 'explained', 'the', 'concept', 'of', 'mammalian', 'respiratory', 'systems', 'to', 'the', 'captivated', 'third', '-', 'grade', 'class', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'wildlife', 'rehabilitator', 'gently', 'hand', '-', 'fed', 'a', 'recovering', 'woodpecker', ',', 'which', 'had', 'been', 'rescued', 'after', 'colliding', 'with', 'a', 'window', 'in', 'downtown', 'Manhattan', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['In', 'the', 'heart', 'of', 'the', 'Bornean', 'rainforest', ',', 'a', 'team', 'of', 'scientists', 'observed', 'a', 'rare', 'instance', 'of', 'a', 'clouded', 'leopard', 'sharing', 'its', 'kill', 'with', 'a', 'pack', 'of', 'dhole', 'wild', 'dogs', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['In', 'the', 'stillness', 'of', 'the', 'Arctic', 'night', ',', 'a', 'lone', 'lynx', 'stalked', 'its', 'prey', ',', 'the', 'snow', 'crunching', 'softly', 'beneath', 'its', 'paws', 'as', 'it', 'closed', 'in', 'on', 'an', 'unsuspecting', 'lemming', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['After', 'heavy', 'rainfall', ',', 'the', 'homeowner', 'discovered', 'a', 'garter', 'snake', 'seeking', 'refuge', 'in', 'her', 'basement', ',', 'likely', 'washed', 'in', 'through', 'the', 'overflowing', 'storm', 'drain', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
